Nr,X1,Y1,X2,Y2
1513,650555.749154,432469.580394,650560.715404,432469.000427
1514,650555.485664,432466.661892,650560.451914,432466.081924
1515,650565.275241,432465.436515,650560.308966,432466.016263
1516,650565.731663,432468.326427,650560.765387,432468.906175
1517,650548.530429,432408.132695,650553.496679,432407.552726
1518,650548.345541,432405.174377,650553.311791,432404.594409
1519,650558.299459,432403.727474,650553.333184,432404.307223
1520,650558.375129,432406.899147,650553.408853,432407.478894
1521,650541.282073,432346.295047,650546.248323,432345.715079
1522,650551.451403,432345.351396,650546.485128,432345.931145
1523,650534.245032,432284.933094,650539.211282,432284.353127
1524,650544.13363,432283.805705,650539.167355,432284.385453
1525,650519.975921,432161.843753,650524.942171,432161.263785
1526,650529.908417,432160.822523,650524.942142,432161.402272
1527,650512.689756,432100.321552,650517.656006,432099.741584
1528,650522.637561,432099.21355,650517.671286,432099.793298
1529,650505.447284,432038.792876,650510.413534,432038.212907
1530,650515.274646,432038.012559,650510.308345,432038.592093
1531,650498.37342,431977.182881,650503.33967,431976.602913
1532,650508.164022,431976.154505,650503.197721,431976.734038
1533,650491.156641,431915.55894,650496.122891,431914.978972
1534,650501.04218,431914.600994,650496.075879,431915.180528
1535,650483.944424,431854.060911,650488.910674,431853.480942
1536,650493.821794,431853.047839,650488.855493,431853.627371
1537,650476.607156,431792.574454,650481.573406,431791.994486
1538,650486.703992,431791.331688,650481.737691,431791.911221
1539,650469.500586,431730.934184,650474.466836,431730.354216
1540,650479.590281,431729.833309,650474.62398,431730.412842
1541,650462.387873,431669.44262,650467.354123,431668.862651
1542,650472.488792,431668.227412,650467.522491,431668.806944
1543,650455.20674,431607.679525,650460.17299,431607.099558
1544,650465.11881,431606.520468,650460.152509,431607.100001
1545,650448.084903,431548.217349,650453.051153,431547.637382
1546,650458.135811,431547.234885,650453.16951,431547.814417
1547,650441.328517,431488.750392,650446.294751,431488.17029
1548,650451.319188,431487.551515,650446.352931,431488.13142
1549,650434.725258,431434.196951,650439.691492,431433.61685
1550,650444.754714,431432.879656,650439.788457,431433.45956
1551,650427.612571,431374.416624,650432.578805,431373.836523
1552,650437.903366,431373.34227,650432.937109,431373.922173
1553,650421.049111,431316.061683,650426.015345,431315.481582
1554,650420.780497,431312.918604,650425.746731,431312.338503
1555,650430.939727,431314.567789,650425.97347,431315.147694
1556,650430.695619,431311.590081,650425.729362,431312.169986
1557,650413.794419,431254.563,650418.760653,431253.982899
1558,650413.55745,431251.443398,650418.523684,431250.863297
1559,650423.294947,431250.056695,650418.32869,431250.636598
1560,650423.864718,431253.521317,650418.898461,431254.101222
1561,650406.629538,431192.910173,650411.595772,431192.33007
1562,650416.698807,431191.67147,650411.73255,431192.251375
1563,650399.108298,431129.422959,650404.074532,431128.842857
1564,650409.200014,431127.955591,650404.233757,431128.535495
1565,650391.692177,431065.694831,650396.658411,431065.11473
1566,650401.766559,431064.680703,650396.800302,431065.260608
1567,650384.363842,431002.179032,650389.330076,431001.59893
1568,650394.220784,431001.028123,650389.254527,431001.608026
1569,650376.996708,430938.781652,650381.962942,430938.20155
1570,650386.918967,430937.311223,650381.952864,430937.892445
1571,650369.538511,430875.228766,650374.504745,430874.648664
1572,650379.461799,430873.955352,650374.495696,430874.536575
1573,650362.061082,430811.657523,650367.027325,430811.077498
1574,650372.050717,430810.261606,650367.084614,430810.842828
1575,650354.624471,430747.791602,650359.590714,430747.211577
1576,650364.604941,430746.904049,650359.638797,430747.484918
1577,650347.306333,430685.485484,650352.272576,430684.905459
1578,650357.390906,430684.159995,650352.424761,430684.740863
1579,650340.018799,430623.005829,650344.985042,430622.425804
1580,650350.06661,430621.432281,650345.100465,430622.01315
1581,650332.6383,430559.328766,650337.604543,430558.74874
1582,650342.553417,430558.000218,650337.587272,430558.581086
1583,650325.464041,430496.663323,650330.430284,430496.0833
1584,650335.428172,430495.665515,650330.461811,430496.24453
1585,650317.742524,430432.395915,650322.708767,430431.815891
1586,650327.847517,430431.208226,650322.881156,430431.787241
1587,650310.377236,430367.681376,650315.343479,430367.101352
1588,650320.239287,430366.755026,650315.272926,430367.33404
1589,650302.751644,430303.111124,650307.717887,430302.531099
1590,650312.79132,430302.242949,650307.824669,430302.819475
1591,650295.4884,430241.634934,650300.454643,430241.054909
1592,650305.70467,430240.627917,650300.73802,430241.204445
1593,650288.689931,430183.026208,650293.656174,430182.446184
1594,650288.351903,430180.175088,650293.318146,430179.595062
1595,650298.385432,430178.885312,650293.419262,430179.465963
1596,650298.692844,430181.909973,650293.726674,430182.490622
1597,650281.544222,430121.314224,650286.510465,430120.734199
1598,650281.174547,430118.439627,650286.14079,430117.859601
1599,650291.04679,430117.201919,650286.08062,430117.782568
1600,650291.421579,430120.301095,650286.455409,430120.881746
1601,650274.630255,430060.215741,650279.596498,430059.635718
1602,650284.418781,430058.793268,650279.4524,430059.372113
1603,650267.648989,430001.13406,650272.615232,430000.554034
1604,650277.57227,429999.860617,650272.605889,430000.43946
1605,650260.647293,429941.534479,650265.613536,429940.954455
1606,650270.527704,429940.351889,650265.561323,429940.930733
1607,650253.404571,429880.118548,650258.370814,429879.538524
1608,650263.123695,429878.988025,650258.157314,429879.56687
1609,650246.212854,429818.476681,650251.179185,429817.897411
1610,650256.110633,429817.601351,650251.144414,429818.181581
1611,650239.051783,429757.041692,650244.018114,429756.462423
1612,650249.116956,429755.77538,650244.150737,429756.35561
1613,650232.00073,429695.28752,650236.967061,429694.708251
1614,650241.913816,429694.325416,650236.947597,429694.905646
1615,650224.602741,429632.824253,650229.569072,429632.244983
1616,650234.620959,429631.621229,650229.65474,429632.201459
1617,650217.469173,429571.194981,650222.435504,429570.61571
1618,650227.161763,429570.26555,650222.195341,429570.844044
1619,650210.191674,429509.925045,650215.158005,429509.345777
1620,650220.146598,429508.675063,650215.180176,429509.253558
1621,650202.982495,429447.405632,650207.948826,429446.826364
1622,650212.983341,429445.895338,650208.016919,429446.473833
1623,650195.893858,429386.840056,650200.860189,429386.260786
1624,650205.896765,429385.723794,650200.930343,429386.302289
1625,650188.839713,429326.015864,650193.806044,429325.436595
1626,650198.918167,429325.02924,650193.951745,429325.607735
1627,650181.886877,429266.55685,650186.853208,429265.97758
1628,650191.735636,429265.35076,650186.769214,429265.929255
1629,650174.452036,429203.845547,650179.418367,429203.266277
1630,650184.344695,429202.745618,650179.378392,429203.325127
1631,650167.440841,429141.522135,650172.407172,429140.942865
1632,650176.931295,429140.369142,650171.964992,429140.948652
1633,650160.01216,429079.992942,650164.978491,429079.413672
1634,650169.84561,429078.873616,650164.879307,429079.453125
1635,650153.137915,429021.25463,650158.104246,429020.67536
1636,650152.855,429018.395343,650157.821331,429017.816073
1637,650162.778273,429017.121867,650157.811967,429017.701352
1638,650163.026488,429020.127133,650158.060182,429020.706617
1639,650145.97769,428959.826489,650150.944021,428959.247219
1640,650145.698858,428956.994764,650150.665189,428956.415494
1641,650155.417975,428955.864211,650150.451669,428956.443696
1642,650156.02041,428958.788813,650151.054104,428959.368298
1643,650138.668419,428898.533106,650143.63475,428897.953837
1644,650148.795847,428897.116702,650143.829541,428897.696187
1645,650131.690869,428836.62722,650136.6572,428836.047951
1646,650141.538593,428835.224099,650136.572261,428835.803364
1647,650124.416078,428775.075226,650129.382409,428774.495956
1648,650134.182147,428773.881374,650129.216501,428774.466487
1649,650117.330317,428713.579719,650122.296648,428713.00045
1650,650127.065771,428712.559405,650122.099395,428713.138293
1651,650110.113873,428651.962745,650115.080204,428651.383477
1652,650119.88708,428650.626996,650114.921998,428651.216881
1653,650103.165896,428590.446821,650108.136313,428589.903726
1654,650113.358677,428589.471394,650108.386614,428589.999209
1655,650097.894058,428528.457151,650102.880847,428528.093919
1656,650108.024577,428527.631785,650103.038359,428528.002765
1657,650093.754107,428466.581402,650098.746412,428466.304114
1658,650104.231706,428465.817265,650099.235514,428466.012375
1659,650091.768241,428404.527246,650096.767408,428404.435984
1660,650102.122348,428404.26025,650097.122941,428404.337283
1661,650091.233781,428342.652325,650096.23374,428342.672649
1662,650101.791053,428342.80589,650096.791067,428342.794064
1663,650092.262355,428280.602087,650097.261127,428280.7129
1664,650102.512362,428280.773022,650097.514058,428280.6428
1665,650093.963306,428218.427269,650098.961556,428218.559529
1666,650103.974514,428218.255668,650098.97621,428218.125445
1667,650095.632332,428156.510722,650100.630582,428156.642981
1668,650105.748844,428156.56499,650100.75054,428156.434768
1669,650097.381086,428094.735725,650102.379336,428094.867983
1670,650107.178246,428095.255085,650102.180032,428095.121453
1671,650099.005832,428032.399864,650104.004082,428032.532123
1672,650109.004828,428032.673893,650104.006614,428032.540262
1673,650100.582103,427970.815252,650105.580353,427970.947511
1674,650110.533027,427970.809229,650105.534764,427970.677449
1675,650102.106464,427910.107225,650107.104714,427910.239485
1676,650112.161929,427910.354925,650107.163666,427910.223144
1677,650103.771204,427851.395985,650108.769454,427851.528244
1678,650103.718958,427848.217,650108.717208,427848.349258
1679,650113.93772,427848.608539,650108.939457,427848.476757
1680,650113.600796,427851.748986,650108.602533,427851.617205
1681,650105.381014,427789.603242,650110.379238,427789.7365
1682,650105.581729,427786.347569,650110.579953,427786.480829
1683,650115.380415,427786.811214,650110.382134,427786.680099
1684,650115.387643,427789.59874,650110.389362,427789.467623
1685,650107.113288,427727.409692,650112.111512,427727.542951
1686,650116.918845,427727.622663,650111.920564,427727.491549
1693,650113.962941,427471.358386,650118.961165,427471.491646
1694,650123.848239,427471.712901,650118.849979,427471.580987
1701,650122.417059,427158.78223,650127.415283,427158.915489
1702,650131.855193,427159.180228,650126.856994,427159.046039
1703,650120.609345,427223.733171,650125.607569,427223.866431
1704,650130.353855,427224.139566,650125.355656,427224.005377
1705,650124.032077,427094.759764,650129.030301,427094.893022
1706,650133.833056,427095.139829,650128.834885,427095.004617
1707,650125.673026,427030.807691,650130.67125,427030.94095
1708,650135.615556,427031.108012,650130.617385,427030.972801
1709,650127.531824,426966.025389,650132.530048,426966.158647
1710,650137.339671,426966.154778,650132.341271,426966.028296
1711,650129.151746,426904.874003,650134.14997,426905.007262
1712,650139.169825,426904.451685,650134.171633,426904.317251
1713,650130.536999,426846.182971,650135.535223,426846.31623
1714,650140.676022,426846.432924,650135.67783,426846.298491
1715,650132.209905,426791.23484,650137.208129,426791.368098
1716,650142.217298,426791.202451,650137.219103,426791.068126
1717,650133.502026,426735.941795,650138.50025,426736.075054
1718,650143.501024,426736.215781,650138.502829,426736.081455
1719,650135.253142,426677.121421,650140.251087,426677.264753
1720,650135.250482,426674.166781,650140.248427,426674.310114
1721,650145.255586,426674.217946,650140.257391,426674.083621
1722,650145.276177,426677.53543,650140.277982,426677.401104
1723,650136.808527,426615.271433,650141.806472,426615.414766
1724,650136.898582,426611.984854,650141.896527,426612.128187
1725,650147.057826,426612.514086,650142.05963,426612.379775
1726,650146.89032,426615.575557,650141.892124,426615.441245
1727,650138.398239,426553.185463,650143.396184,426553.328795
1728,650148.553667,426553.853954,650143.555471,426553.719643
1729,650140.185957,426490.993424,650145.183902,426491.136756
1730,650149.877053,426491.314712,650144.879006,426491.174991
1731,650141.966793,426429.052056,650146.964738,426429.19539
1732,650151.984487,426429.661023,650146.98644,426429.521304
1733,650143.971962,426367.061088,650148.967283,426367.277345
1734,650154.418125,426367.291567,650149.424104,426367.047111
1735,650148.235067,426305.062303,650153.220682,426305.441303
1736,650158.526705,426305.846012,650153.543284,426305.439171
1737,650154.031373,426243.565435,650159.00583,426244.070187
1738,650164.535147,426244.74518,650159.567408,426244.17811
1739,650162.154866,426182.076582,650167.105267,426182.7791
1740,650172.236276,426183.411991,650167.283407,426182.727093
1741,650170.713873,426120.460292,650175.664274,426121.16281
1742,650180.909746,426121.687343,650175.956877,426121.002445
1743,650179.67024,426059.091809,650184.619601,426059.801615
1744,650189.607811,426060.590513,650184.658211,426059.882376
1745,650188.289696,425997.811648,650193.239947,425998.515224
1746,650198.452375,425999.232898,650193.502848,425998.524248
1747,650197.042106,425936.256394,650201.992357,425936.95997
1748,650206.985019,425937.560127,650202.035492,425936.851478
1749,650205.1041,425881.079138,650210.054274,425881.78325
1750,650214.733007,425882.652999,650209.782797,425881.949139
1751,650214.542118,425813.828639,650219.492292,425814.532752
1752,650224.485033,425815.132368,650219.534823,425814.428509
1753,650223.466755,425752.598636,650228.416929,425753.30275
1754,650233.164341,425753.700529,650228.215335,425752.988254
1755,650232.072603,425691.304149,650237.022777,425692.008263
1756,650241.871679,425692.771173,650236.9213,425692.0685
1757,650240.781802,425629.765738,650245.731291,425630.474652
1758,650250.593231,425630.783456,650245.64304,425630.079463
1759,650249.549862,425567.51106,650254.499351,425568.219975
1760,650259.481734,425569.187727,650254.531051,425568.487199
1761,650257.694482,425509.829729,650262.643971,425510.538643
1762,650258.214392,425506.776388,650263.163881,425507.485303
1763,650268.172775,425507.979307,650263.22356,425507.268484
1764,650267.969085,425511.2093,650263.01987,425510.498476
1765,650266.581749,425448.244509,650271.531238,425448.953425
1766,650267.153831,425445.225223,650272.10332,425445.934138
1767,650276.946136,425446.409015,650271.996921,425445.698191
1768,650276.411297,425449.348449,650271.462082,425448.637626
1769,650275.389354,425386.863835,650280.338843,425387.57275
1770,650285.446717,425387.937915,650280.497134,425387.229661
1771,650284.279784,425325.250928,650289.229273,425325.959843
1772,650294.08835,425327.754797,650289.138767,425327.046543
1773,650293.170606,425264.121603,650298.120095,425264.830518
1774,650303.025656,425265.004097,650298.077538,425264.285678
1775,650302.014205,425202.67158,650306.963694,425203.380495
1776,650311.845933,425204.000138,650306.8971,425203.286657
1777,650310.869736,425141.604933,650315.822215,425142.29265
1778,650320.86016,425143.260282,650315.911327,425142.5468
1779,650318.268548,425084.419947,650323.234768,425085.00017
1780,650328.450554,425085.87298,650323.488289,425085.259851
1781,650324.468561,425026.928623,650329.453498,425027.316444
1782,650334.96025,425027.884425,650329.985052,425027.387024
1783,650328.529664,424968.770277,650333.522764,424969.032858
1784,650338.763681,424969.528121,650333.771731,424969.244502
1785,650329.711019,424911.507082,650334.711003,424911.494421
1786,650340.300355,424911.12787,650335.300356,424911.130221
1787,650328.642845,424852.954379,650333.636749,424852.707561
1788,650339.194938,424852.655017,650334.199658,424852.872217
1789,650325.101323,424795.165241,650330.081812,424794.723959
1790,650335.600073,424794.354888,650330.615009,424794.741065
1791,650319.014915,424737.689418,650323.967164,424737.000049
1792,650329.441196,424736.534154,650324.479893,424737.155022
1793,650310.506294,424680.804409,650315.425686,424679.910216
1794,650320.516273,424678.785586,650315.597198,424679.681521
1795,650299.352065,424624.362269,650304.229152,424623.260442
1796,650309.520227,424621.700319,650304.645803,424622.813868
1797,650285.317911,424565.023254,650290.150576,424563.740541
1798,650295.13082,424562.244953,650290.28891,424563.492314
1799,650268.94192,424506.009057,650273.750176,424504.63768
1800,650278.898553,424503.190249,650274.093028,424504.571166
1801,650252.479457,424449.735841,650257.274812,424448.320011
1802,650251.572143,424446.660737,650256.367498,424445.244907
1803,650261.21159,424443.683307,650256.422495,424445.120168
1804,650262.207026,424446.582197,650257.417931,424448.019058
1805,650234.801294,424390.255341,650239.588709,424388.812893
1806,650233.849922,424387.224289,650238.637338,424385.781843
1807,650243.286701,424384.431874,650238.497606,424385.868734
1808,650244.23808,424387.374816,650239.448985,424388.811676
1809,650217.123101,424331.039178,650221.925026,424329.645795
1810,650227.000455,424327.894352,650222.19433,424329.273178
1811,650201.20485,424275.077166,650206.036607,424273.791037
1812,650211.425796,424272.43459,650206.58913,424273.702132
1813,650186.851871,424218.871291,650191.710226,424217.689603
1814,650197.002318,424216.369684,650192.128208,424217.484608
1815,650174.784068,424162.037272,650179.689099,424161.067388
1816,650185.304541,424160.029106,650180.381324,424160.901995
1817,650165.105741,424104.876858,650170.06353,424104.228533
1818,650175.58213,424103.265182,650170.641029,424104.030373
1819,650157.905684,424047.138947,650162.875821,424046.593295
1820,650168.408475,424045.959009,650163.429867,424046.421028
1821,650153.038002,423989.221421,650158.026198,423988.878061
1822,650163.598559,423988.448719,650158.608463,423988.763267
1823,650150.863068,423931.061995,650155.861297,423930.928928
1824,650161.391343,423930.682007,650156.393733,423930.836593
1825,650151.173667,423868.734103,650156.172852,423868.824373
1826,650161.622373,423868.889227,650156.622936,423868.814201
1827,650154.224088,423806.688554,650159.212816,423807.024098
1828,650164.455828,423807.41494,650159.469906,423807.040002
1829,650160.041413,423744.958341,650165.014856,423745.472993
1830,650170.232535,423745.938377,650165.257163,423745.442719
1831,650167.26761,423683.192776,650172.226162,423683.83524
1832,650177.251236,423684.436466,650172.292254,423683.797332
1833,650175.300902,423621.853337,650180.256778,423622.516131
1834,650185.181615,423623.242759,650180.222632,423622.603625
1835,650183.508963,423560.426385,650188.468073,423561.064527
1836,650193.445303,423561.812469,650188.48632,423561.173335
1837,650191.360345,423498.846628,650196.317694,423499.498315
1838,650201.371787,423500.088644,650196.412805,423499.44951
1839,650199.355148,423437.331404,650204.313586,423437.974752
1840,650209.322637,423438.771443,650204.365281,423438.119811
1841,650207.441813,423375.486317,650212.400935,423376.124371
1842,650217.479401,423376.698848,650212.522045,423376.047217
1843,650215.200525,423317.017139,650220.159647,423317.655193
1844,650215.580025,423314.035623,650220.539147,423314.673677
1845,650225.3723,423315.346599,650220.414944,423314.694966
1846,650224.996135,423318.38374,650220.038779,423317.732108
1847,650223.147802,423255.431617,650228.10394,423256.092446
1848,650223.537306,423252.616978,650228.493444,423253.277808
1849,650233.458641,423253.752736,650228.501285,423253.101105
1850,650233.203734,423256.950086,650228.246378,423256.298453
1851,650231.100903,423194.152783,650236.057041,423194.813612
1852,650241.163506,423195.782501,650236.20585,423195.133154
1853,650239.744932,423129.500286,650244.702757,423130.148337
1854,650249.203454,423130.831266,650244.245798,423130.181919
1855,650248.020206,423065.50463,650252.978031,423066.152682
1856,650258.144679,423066.726592,650253.187023,423066.077245
1857,650256.421382,423002.047109,650261.378535,423002.700282
1858,650266.42658,423003.087051,650261.46873,423002.439193
1859,650264.580565,422938.498886,650269.538747,422939.144201
1860,650274.671991,422939.520709,650269.714141,422938.87285
1861,650273.070924,422874.753767,650278.029106,422875.399083
1862,650282.761075,422876.09399,650277.803225,422875.446132
1863,650281.265754,422811.626435,650286.223414,422812.275747
1864,650291.117624,422812.536527,650286.159221,422811.892914
1865,650289.449185,422747.867276,650294.408721,422748.5021
1866,650299.738734,422749.360658,650294.780331,422748.717045
1867,650297.779967,422684.776902,650302.739503,422685.411726
1868,650307.572284,422685.960602,650302.613813,422685.31751
1869,650305.978809,422621.261283,650310.937411,422621.90336
1870,650315.787063,422622.306581,650310.828592,422621.663489
1871,650314.080779,422557.965621,650319.039381,422558.6077
1872,650323.913526,422559.041785,650318.955055,422558.398693
1873,650322.451745,422494.525912,650327.410347,422495.167991
1874,650332.380283,422495.500916,650327.422163,422494.855122
1875,650330.662228,422431.018367,650335.62083,422431.660445
1876,650340.365132,422432.247856,650335.407012,422431.602062
1877,650338.794821,422367.45641,650343.752553,422368.105172
1878,650348.80858,422368.665598,650343.85046,422368.019804
1879,650346.568739,422308.957695,650351.526471,422309.606458
1880,650346.943842,422305.94377,650351.901574,422306.592534
1881,650356.785147,422307.189192,650351.827027,422306.543399
1882,650356.478154,422310.098772,650351.520034,422309.452979
1883,650354.473793,422247.371521,650359.431525,422248.020282
1884,650354.919185,422244.477878,650359.876917,422245.12664
1885,650364.859468,422245.59446,650359.901348,422244.948665
1886,650364.481178,422248.636065,650359.523058,422247.990272
1887,650362.249194,422186.180466,650367.207667,422186.823539
